status,recommendation,brand,filename,size,sha1,duplicate_path,schematics_match,visible_match,notes
ok,quarantine_only_no_visible_canonical,GMV,PEÇAS SUBSTITUIÇÃO GMV 3010 PAT 2.pdf,107606,06ed9fbc2ceb362852fa941c62f1270e2ccf6779,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/06/PEÇAS SUBSTITUIÇÃO GMV 3010 PAT 2.pdf,,,
ok,quarantine_only_no_visible_canonical,GMV,PEÇAS SUBSTITUIÇÃO GMV 3010 PAT 2__dup1.pdf,107606,06ed9fbc2ceb362852fa941c62f1270e2ccf6779,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/06/PEÇAS SUBSTITUIÇÃO GMV 3010 PAT 2__dup1.pdf,,,
ok,quarantine_only_no_visible_canonical,GMV,PEÇAS SUBSTITUIÇÃO GMV 3010 PAT 2__dup2.pdf,107606,06ed9fbc2ceb362852fa941c62f1270e2ccf6779,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/06/PEÇAS SUBSTITUIÇÃO GMV 3010 PAT 2__dup2.pdf,,,
ok,quarantine_only_no_visible_canonical,GMV,2656_50.pdf,69598,0ccf983ee045384bd25e5be67d89892e91e2e1a9,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/0c/2656_50.pdf,,,
ok,already_recovered_in_02,GMV,Wiring.pdf,153032,1307a34798648e2deb8b65ddc3cd0bf417e5d7dd,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/13/Wiring.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__fromdup1.pdf | /Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__dup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__fromdup1.pdf | /Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Wiring__dup1.pdf,
ok,canonical_visible_elsewhere,GMV,5.Caja de Bornas Estandar.pdf,41469,1f72074724696e65d209cf32a2e8cb6fb31b863d,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/1f/5.Caja de Bornas Estandar.pdf,,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/5.Caja de Bornas Estandar.pdf,
ok,already_recovered_in_02,GMV,ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,827565,205480d628e4819c9ea66bdb134c35d83200a2a6,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/20/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/ESQUEMAS CENIA - Série F HET.GMV - Hidraulico.pdf,
ok,already_recovered_in_02,GMV,Loom.pdf,636742,22ef38e64f85adb484a7e30d000b76a0604e85f8,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/22/Loom.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom.pdf | /Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__fromdup1.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom.pdf | /Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/Loom__fromdup1.pdf,
ok,quarantine_only_no_visible_canonical,GMV,MI-HL-05-PT-10991045-tmp.pdf,2204274,26f55680bc1d592dac66649deed8e9e8be945e5c,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/26/MI-HL-05-PT-10991045-tmp.pdf,,,
ok,quarantine_only_no_visible_canonical,GMV,MI-HL-05-PT-10991045-tmp__dup1.pdf,2204274,26f55680bc1d592dac66649deed8e9e8be945e5c,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/26/MI-HL-05-PT-10991045-tmp__dup1.pdf,,,
ok,canonical_visible_elsewhere,GMV,FORTIS( Porta Semi-aut. HID. GMV).pdf,137543,2a0b4983ea78ab8964a348e9e0294c18326258ad,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/2a/FORTIS( Porta Semi-aut. HID. GMV).pdf,,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/GMV/FORTIS( Porta Semi-aut. HID. GMV).pdf,
ok,quarantine_only_no_visible_canonical,GMV,2656_43.pdf,113703,3aa8b6330205a8b4223ada6cc5fbc48d94ae478e,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/3a/2656_43.pdf,,,
ok,already_recovered_in_02,GMV,2.Esquema HD.pdf,83877,41d98626bb6de90b606af22a67fd1b2882316097,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/99. duplicates/GMV/41/2.Esquema HD.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/2.Esquema HD.pdf | /Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/2.Esquema HD.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/GMV/2.Esquema HD.pdf | /Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/2.Esquema HD.pdf,
