from,to,brand,bucket
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/516 Electrical Drawings.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/516 Electrical Drawings.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/A2 Circuit Diagrams.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/A2 Circuit Diagrams.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/ECO 3000 ESQUEMA - KONE ESC.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/ECO 3000 ESQUEMA - KONE ESC.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/EPB 2 4 Schematic Drawings.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/EPB 2 4 Schematic Drawings.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/EPB 2 4 Schematic Drawings__dup1.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/EPB 2 4 Schematic Drawings__dup1.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/ESCALERA KONE ECO 3000 ESQUEMA DEE 27448 - KONE ESC.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/ESCALERA KONE ECO 3000 ESQUEMA DEE 27448 - KONE ESC.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/ESCALERA KONE ECO 3000 ESQUEMA KM 371173 - KONE ESC.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/ESCALERA KONE ECO 3000 ESQUEMA KM 371173 - KONE ESC.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Electrical Diagram for Star - Delta Control.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Electrical Diagram for Star - Delta Control.jpg,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Electrical Drawing for Minispace.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Electrical Drawing for Minispace.pdf,Kone,high_confidence
/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_v2/high_confidence/Kone/Emergency Lighting Safety Notice.jpg,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/electrical_schematics_final_v1/Kone/Emergency Lighting Safety Notice.jpg,Kone,high_confidence
