source_relative_path,target_relative_path,bucket,brand,score,doc_type,theme,suggested_title,rationale
Documentacao Tecnica/Kone/KONE LIBERTY TAC 5 drawings.pdf,high_confidence/Kone/KONE Liberty TAC 5 Drawings.pdf,high_confidence,Kone,16,Wiring Diagram,TAC 5 drawings,KONE Liberty TAC 5 Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/KONE TMS 200 green hyd drawings.pdf,high_confidence/Kone/TMS 200 Green Hydraulic Drawings.pdf,high_confidence,Kone,16,Wiring Diagram,Hydraulic TMS drawings,TMS 200 Green Hydraulic Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/KONE TMS 50 Beringer drawings.pdf,high_confidence/Kone/TMS 50 Beringer Drawings.pdf,high_confidence,Kone,16,Wiring Diagram,TMS50 Beringer drawings,TMS 50 Beringer Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/KONE TMS200 green TAC 5 drawings.pdf,high_confidence/Kone/TMS 200 Green TAC 5 Drawings.pdf,high_confidence,Kone,16,Wiring Diagram,TMS200 green TAC5 drawings,TMS 200 Green TAC 5 Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/KONE TMS516 drawings Bridge house.pdf,high_confidence/Kone/TMS 516 Bridge House Drawings.pdf,high_confidence,Kone,16,Wiring Diagram,TMS516 bridge house drawings,TMS 516 Bridge House Drawings,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,drawings,drawings.pdf; doc_suffix"
Documentacao Tecnica/Kone/Kone - A2 cct drgs.pdf,high_confidence/Kone/A2 Circuit Diagrams.pdf,high_confidence,Kone,18,Wiring Diagram,Circuit diagrams,A2 Circuit Diagrams,"doc_type=Wiring_Diagram; high=wiring diagram,circuit diagram,circuit diagrams,wiring; medium=diagram,circuit,drawings; doc_suffix"
Documentacao Tecnica/Kone/Kone - DSCF0007.jpg,review/Kone/KONE KoneXion car interface diagram.jpg,review,Kone,6,Image,KoneXion car interface,KONE KoneXion car interface diagram,"high=wiring; medium=diagram,connection,interface; doc_suffix"
Documentacao Tecnica/Kone/Kone - DSCF0009.jpg,high_confidence/Kone/KONE KoneXion car interface wiring.jpg,high_confidence,Kone,7,Image,KoneXion car interface,KONE KoneXion car interface wiring,"high=wiring,schematic; medium=connection,interface; doc_suffix"
Documentacao Tecnica/Kone/Kone - DSCF0025.jpg,high_confidence/Kone/KONE 4 - Wire Interface Diagram.jpg,high_confidence,Kone,15,Wiring Diagram,Wiring / 4-Wire Interface,KONE 4-Wire Interface Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,interface; doc_suffix"
Documentacao Tecnica/Kone/Kone - DSCF0026.jpg,high_confidence/Kone/KONE 4 - Wire Interface Diagram__dup1.jpg,high_confidence,Kone,16,Wiring Diagram,Wiring / 4-Wire Interface,KONE 4-Wire Interface Diagram,"doc_type=Wiring_Diagram; high=wiring diagram,wiring; medium=diagram,connection,interface; doc_suffix"
Documentacao Tecnica/Kone/Kone - DSCF0036.jpg,review/Kone/KoneXion Car Interface Wiring Detail.jpg,review,Kone,4,Image,Car Interface,KoneXion Car Interface Wiring Detail,high=wiring; medium=interface; doc_suffix
Documentacao Tecnica/Kone/Kone - Electrical Drawing minispace Ensign House St Georges Wharf.pdf,high_confidence/Kone/Electrical Drawing for Minispace.pdf,high_confidence,Kone,17,Wiring Diagram,Electrical drawing,Electrical Drawing for Minispace,"doc_type=Wiring_Diagram; high=wiring diagram,electrical drawing,wiring; medium=electrical,diagram; doc_suffix"
Documentacao Tecnica/Kone/Kone - JLP Dartford 605104 Schematics.pdf,high_confidence/Kone/JLP Dartford Schematics.pdf,high_confidence,Kone,17,Wiring Diagram,Project schematics,JLP Dartford Schematics,"doc_type=Wiring_Diagram; high=wiring diagram,wiring,schematic,schematics; medium=electrical,diagram; doc_suffix"
