confidence	brand	reason	rel	path	snippet
high	Sem_Marca	name	Sem_Marca/INDÍCE DE ESQUEMAS DIGITALIZADOS - Cópia.xls	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/INDÍCE DE ESQUEMAS DIGITALIZADOS - Cópia.xls	
review	Hydroware	content	Hydroware/09-08742  NatWest Bank  Hastings.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Hydroware/09-08742  NatWest Bank  Hastings.pdf	75328 w931 09-08742 NatWest Bank, Hastings, GB LIFT DATA (sheet 0) 09-08-19 ML No. 1. Landings 2 SCHEMATICS 2. Landing doors 2 3. C
review	Hydroware	content	Hydroware/13-16349 - Broomy Hill 43, Breinton Road - Hereford, UK.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Hydroware/13-16349 - Broomy Hill 43, Breinton Road - Hereford, UK.pdf	91285 w.1345 13-16349 - Broomy Hill 43, Breinton Road - Hereford, UK LIFT DATA (sheet 0) 2013-11-22 Tim Westlund No. 1. Landings 2 SCHEMATICS 2. Landing doors 
review	Hydroware	content	Hydroware/Function Description Edit 2.2.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Hydroware/Function Description Edit 2.2.pdf	 hydroware Hydroelite 3G-1 Technical Documentation el evat i on t ec
review	Hydroware	content	Hydroware/T10178EN_3G_5_20_HydroElite Function description_1.0_a.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Hydroware/T10178EN_3G_5_20_HydroElite Function description_1.0_a.pdf	 Document type HydroElite 3G - 5.20 
review	MacPuarsa	content	Sem_Marca/ecogo_1_0_240215_150218_240215_215105.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/ecogo_1_0_240215_150218_240215_215105.pdf	 GUÍA RÁPIDA ALL-IN - Montaje IEP / Assembly EPW / Montage IEP / Montage VEA 
review	MacPuarsa	content	Sem_Marca/HIDRAL MH-H EE-511 - HIDRAL MH-H.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/HIDRAL MH-H EE-511 - HIDRAL MH-H.pdf	 T1 T2 T3 L1 L2 L3 U1 V1 W1 C 3~ MOTOR TRIFÁSICO THREE PHASE MOTOR MOTEUR TRIPHASÉ C M MOTOR RS RELÉ SUBIR 
review	MacPuarsa	content	Sem_Marca/MP MICROBASIC V 1.0 - MP MICROBASIC.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/MP MICROBASIC V 1.0 - MP MICROBASIC.pdf	SOBRE EL CAMBIO CAMBIO DE TENSIONES UE TENSIONES Tension de seiiallzacion Tensl6n de alimentaclon El valor estindar es 24Vdc. h 
review	MacPuarsa	content	Sem_Marca/MP MICROBASIC V1 - MP MICROBASIC.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/MP MICROBASIC V1 - MP MICROBASIC.pdf	Technical Dossier V1.01, SEP.01 Installation • Assembly • Commissioning English / MIEPMBUK Use • Maintenance • Repair PRE-ASSEMBLED ELECTRICAL INSTALLATION MICROBASIC TABLE OF CONTENTS CHAPTER 1.- PRE-A
review	MacPuarsa	content	Sem_Marca/MP OP PTAS CAB AC DC 2T - MP.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/MP OP PTAS CAB AC DC 2T - MP.pdf	 FICHA TÉCNICA DE PRODUCTO I+D CHAPA Operador Estándard AC (Trifásico) y DC Telescópico de 2 Hojas • DESCRIPCIÓN GENERAL: Operador de puertas de cabina t
