confidence	score	brand	name	path	terms	snippet
high	4	MacPuarsa	AE-Lift Inverter UPS+BAT Connections.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/AE-Lift Inverter UPS+BAT Connections.pdf	\bmp\b	 0 1 2 3 4 5 6 
high	11	MacPuarsa	ASCM_STD_ENG Standard Circuit Diagrams.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/ASCM_STD_ENG Standard Circuit Diagrams.pdf	\bmacpuarsa\b,\bpuarsa\b,\bmicrobasic\b	 MACPUARSA Leonardo da Vinci, s/n, Parc. TA-13 41092 - SEVILLA - ESPA¥A ASCENSORES Tel.:+34 954 630 562 - Fax:+34 954 657 955 Customer Dates Customer : Nombre Cliente Y/Reference : Ref. Cliente. O/Reference : Ref. MAC. Features 
high	11	MacPuarsa	ASCM_STD_ENG Standard Circuit Diagrams__fromdup1.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/ASCM_STD_ENG Standard Circuit Diagrams__fromdup1.pdf	\bmacpuarsa\b,\bpuarsa\b,\bmicrobasic\b	 MACPUARSA Leonardo da Vinci, s/n, Parc. TA-13 41092 - SEVILLA - ESPA¥A ASCENSORES Tel.:+34 954 630 562 - Fax:+34 954 657 955 Customer Dates Customer : Nombre Cliente Y/Reference : Ref. Cliente. O/Reference : Ref. MAC. Features 
review	1	Schindler	D__BYDIVI~1_LOC_ARS_42_151~1[1].pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/D__BYDIVI~1_LOC_ARS_42_151~1[1].pdf	\binventio\b	 1 GENERAL INFORMATION ..............................................................................................................................................6 1.1 INTRODUCTION............................................................................
review	1	Delta	EE312-06.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/EE312-06.pdf	\bdelta\b	 LEYENDA KEY LEGENDE OPCIONES OPTIONS OPTIONS 1. ALIMEN. MOTOR Y ARRANQUE SUPPLY OF MOTOR AND STARTING MODE TENSION DU MOTEUR ET DEMARRAGE BOBINA CERRADURA ELECTRICA 
high	4	Express	EHM2 circuit diagram symbols.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/EHM2 circuit diagram symbols.pdf	\bexpress\b	EXPRESS ENGINEERING DATA CIRCUIT DIAGRAMS EHM 2-93-05 SYMBOLS AND NOTATIONS Page 1 B.F.C. (Continued.....) ENGINEERING DATA EXPRESS EHM 2-93-05 CIRCUIT DIAGRAMS Page 2 SYMBOLS AND NOTATIONS B.F.C. (Contin
high	1	TKE	ESQUEMA CENIA SÉRIE F HIDR A. DIRECTO (Fechos eléctricos).PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/ESQUEMA CENIA SÉRIE F HIDR A. DIRECTO (Fechos eléctricos).PDF	\bcenia\b	 
high	3	Schindler	EU_S-Module_2008-09_Rel.2_V17_schematics_EN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/EU_S-Module_2008-09_Rel.2_V17_schematics_EN.pdf	\binventio\b	1. SCHEMATICS SELECTION TABLE ............................................................................................................................................................................................................................................... 2 1.1 POWER SUPPLY .................................................................................................
high	3	Schindler	EU_S-Module_2008-09_Rel.4_V08_schematics_EN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/EU_S-Module_2008-09_Rel.4_V08_schematics_EN.pdf	\binventio\b	1. SCHEMATICS SELECTION TABLE ............................................................................................................................................................................................................................................... 2 1.1 POWER SUPPLY .................................................................................................
high	3	Schindler	EU_S-Module_2008_09_Rel.4_V08_schematics_EN.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/EU_S-Module_2008_09_Rel.4_V08_schematics_EN.pdf	\binventio\b	1. SCHEMATICS SELECTION TABLE ............................................................................................................................................................................................................................................... 2 1.1 POWER SUPPLY .................................................................................................
review	1	MacPuarsa	Esquema 27-05-2022.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Esquema 27-05-2022.pdf	\bmp\b	 0 1 2 3 4 5 6 7 8 9 0 
review	1	Otis	F26800BC.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/F26800BC.pdf	\botis\b	Parts Leaflet APRIL 2005 Page : 1/2 P.C.B. WIRING INTERFACE * 39 F.. 26800BC D 1 D 2 D 3 
high	3	Aritco	Function description A-Box.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Function description A-Box.pdf	\baritco\b	 Function description U5 board U5 board Connection and LED indicators: Contact Function / LED 1 - Emergency lowering motor M1 LED lights when the emergency lowering motor run 2 - Brake release for friction test - Circuit line 48V for door blocking 
high	4	MacPuarsa	Inverter UPS Connections.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/Inverter UPS Connections.pdf	\bmp\b	 0 1 2 3 4 5 6 
high	18	Wittur	J194699_R41.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/J194699_R41.pdf	\bwittur\b,\bselcom\b,\bsematic\b	1. PROCEDURE OF CREATING COMMISSION SCHEMATICS .....................................................................................1 2. SCHEMATICS SELECTION TABLE..................................................................................................................................1 3. SAFETY CONTACTS ........................................................................
review	1	LiftControl	PROTEÇÃO DOS DEDOS.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/PROTEÇÃO DOS DEDOS.PDF	\blift\s*control\b	PA TENT FINGER SAFETY DEVICE ED SISTEMA DI PROTEZIONE DELLE DITA SISTEMA DE PROTECCIÓN DE LOS DEDOS FINGERSCHUTZVORRICHTUNG “ANTI-TRAPPING” “ANTIPIZZICO” “APRISIONAMIENTO” “FINGERSCHUTZ” 1 OPEN 2 CLOSE 
high	3	Otis	REV01-04.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/REV01-04.pdf	\botis\b,\bmcs\b,\bgen2\b	 January 2004 Issue CC DESIGNATION LEAFLET Y C 03 Ladder F..22802J R F 10 Controller parts Car & Floor panel FO6315BA R F Controller modular car MCS 9693AA-AS/WA R G Motion OVF 20 (DBSS) & S
high	7	Schindler	cs_5054615_V00.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/cs_5054615_V00.pdf	\bschindler\b,\binventio\b	 1 2 3 4 5 
high	7	Schindler	cs_5054616_V00.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/cs_5054616_V00.pdf	\bschindler\b,\binventio\b	 1 2 3 4 5 
high	7	Schindler	cs_5054617_V00.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/cs_5054617_V00.pdf	\bschindler\b,\binventio\b	 1 2 3 4 5 
high	7	Schindler	cs_5054618_V00.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/cs_5054618_V00.pdf	\bschindler\b,\binventio\b	 1 2 3 4 
review	1	MacPuarsa	esquema electrico montapratos.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/esquema electrico montapratos.pdf	\bmp\b	 Esquema eléctrico Ref. MP/11 MOTOR TRIFÁSICO M MOTOR C CONTACTOR SUBIR E ELECTROVÁLVULA DE BAJADA RA RELÉS AUXILIARES R RELÉS DE PISO MINICARGAS MH
high	2	Schindler	sc-do-001.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Sem_Marca/sc-do-001.pdf	\bschindler\b,\bmiconic\b	<< Back Thyssen Lifts & Escalators TECHNICAL BULLETIN MAKE: Schindler SUBJECT: Miconic B Door Fault Door Fault 1. Doors cycling continuously from fully open to fully closed. No safety edges or protection devices triggering. Lock circuit makes up at ful
