brand,filename,extension,size,sha1,relative_path,absolute_path,origin_hint
Aritco,Function description A-Box.pdf,.pdf,64651,82c429ece6b84abb2e5895762c73dcd66ae4aac7,Aritco/Function description A-Box.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Aritco/Function description A-Box.pdf,organized_or_recovered
Arkel,ARL 500 Electrical Drawing Drive Unit V1.3.pdf,.pdf,294111,b91b043781cb301d66c5c6c17b967e0d45e5352e,Arkel/ARL 500 Electrical Drawing Drive Unit V1.3.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Arkel/ARL 500 Electrical Drawing Drive Unit V1.3.pdf,organized_or_recovered
Arkel,ARL 500 Electrical Drawing V1.3.pdf,.pdf,2849610,beda4b89348cd472a4642ecb8cf800a4e52aa2db,Arkel/ARL 500 Electrical Drawing V1.3.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Arkel/ARL 500 Electrical Drawing V1.3.pdf,organized_or_recovered
Arkel,ARL 500 Electrical Drawing V1.6.pdf,.pdf,9565476,120a7b9d5270044b2ba88c2e5ad00b1ab7881d81,Arkel/ARL 500 Electrical Drawing V1.6.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Arkel/ARL 500 Electrical Drawing V1.6.pdf,organized_or_recovered
Bionic,Schematics BIONIC II Ae4 14-07-2000.pdf,.pdf,4137668,a49f7a6ddea56d87760978f0296cd22e55340515,Bionic/Schematics BIONIC II Ae4 14-07-2000.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/Schematics BIONIC II Ae4 14-07-2000.pdf,organized_or_recovered
Bionic,Schematics%20BIONIC%205%20Table%20release%202.pdf,.pdf,4439421,7d73a3ffd0a4f81488d372eb84286ed6b89c52d4,Bionic/Schematics%20BIONIC%205%20Table%20release%202.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/Schematics%20BIONIC%205%20Table%20release%202.pdf,organized_or_recovered
Bionic,Schematics%20BIONIC%205%20Table%20release%204.pdf,.pdf,3553123,21dc4d2d1fe478f6cf088aebb34f9c1349f76255,Bionic/Schematics%20BIONIC%205%20Table%20release%204.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/Schematics%20BIONIC%205%20Table%20release%204.pdf,organized_or_recovered
Bionic,esquemas BIONIC 5 Table release 2.pdf,.pdf,4439421,7d73a3ffd0a4f81488d372eb84286ed6b89c52d4,Bionic/esquemas BIONIC 5 Table release 2.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/esquemas BIONIC 5 Table release 2.pdf,organized_or_recovered
Bionic,esquemas BIONIC 5 Table release 4.pdf,.pdf,3553123,21dc4d2d1fe478f6cf088aebb34f9c1349f76255,Bionic/esquemas BIONIC 5 Table release 4.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/Bionic/esquemas BIONIC 5 Table release 4.pdf,organized_or_recovered
CIASA,2V ESQUEMA - CIASA BRAUN.pdf,.pdf,4706710,851bd960d9e68299828b796f2dc19f71c27fa6a7,CIASA/2V ESQUEMA - CIASA BRAUN.pdf,/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/02. Esquemas Eletricos/CIASA/2V ESQUEMA - CIASA BRAUN.pdf,organized_or_recovered
