confidence	score	brand	rel	path	positive	negative	snippet
high	28	Sem_Marca	EE312-06.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/EE312-06.pdf	\bESQUEMA\s+EL[EÉ]CTRICO\b,\bESQUEMAS?\s+EL[EÉ]CTRICOS?\b,\bLEYENDA\b.*\bMOTOR\b,\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b		 LEYENDA KEY LEGENDE OPCIONES OPTIONS OPTIONS 1. ALIMEN. MOTOR Y ARRANQUE SUPPLY OF MOTOR AND STARTING MODE TENSION DU MOTEUR ET DEMARRAGE BOBINA CERRADURA ELECTRICA SERIE CONTACTOS DE PUERTA RELE DE FUNCIONA ELECTRIC LOCK COIL 
high	19	Sem_Marca	J194699_R41.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/J194699_R41.pdf	\bSCHEMATICS\b,\bSAFETY CIRCUIT\b,\bDOOR DRIVE\b	\binstallation\b,\bservice\b	1. PROCEDURE OF CREATING COMMISSION SCHEMATICS .....................................................................................1 2. SCHEMATICS SELECTION TABLE..................................................................................................................................1 3. SAFETY CONTACTS ............................................................................................................................................................6 1. Procedur
high	15	Sem_Marca	Ha470588.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Ha470588.pdf	\bWIRING DIAGRAM\b,\bSheet\s+\d+[:.]\d+,\bCONTACTOR(?:ES)?\b		 '\QDPLF%UDNH&RQWDFWRU2SWLRQ Application The 590+ DRV frames 1 and 2 are equipped with an AC (line-side) contactor. For dynamic braking applications, you will need a braking resistor and this kit to connect the resistor across the motor terminals. Use the following table to specify the contactor kit and resistor appropriate for the power rating of your drive and motor. This combination, in accordance with Nema ICS 3-302.62, will provide 150% instantaneous braking 
high	15	Sem_Marca	PROTEÇÃO DOS DEDOS.PDF	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/PROTEÇÃO DOS DEDOS.PDF	\bELECTRIC(?:AL)? DIAGRAM\b,\bESQUEMA\s+EL[EÉ]CTRICO\b,\bESQUEMAS?\s+EL[EÉ]CTRICOS?\b		PA TENT FINGER SAFETY DEVICE ED SISTEMA DI PROTEZIONE DELLE DITA SISTEMA DE PROTECCIÓN DE LOS DEDOS FINGERSCHUTZVORRICHTUNG “ANTI-TRAPPING” “ANTIPIZZICO” “APRISIONAMIENTO” “FINGERSCHUTZ” 1 OPEN 2 CLOSE DOORS PORTE
high	14	Sem_Marca	Express Nomenclature pocket book.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Express Nomenclature pocket book.pdf	\bDOOR DRIVE\b,\bCONTROL SYSTEM\b,\bCONTACTOR(?:ES)?\b		The Express Nomenclature Pocket Book INTRODUCTION The following list has been compiled to indicate relay and contactor nomenclature covering most applications. It is for guidance purposes only and does not necessarily restrict the application to the systems quoted. It may be necessary to vary the application to suit special requirements. If this is done, care should be taken to ensure that the general function of the part
high	13	Sem_Marca	Adaptacion 2vel a 3vf.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Adaptacion 2vel a 3vf.pdf	\bBORNE(?:S)?\b,\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b		PROCEDIMIENTO DE ADAPTACIÓN DE UN CUADRO DE CONTROL DE DOS VELOCIDADES A UN CUADRO DE CONTROL VF 1.- Procedimiento 1.1.- Desconectar el hilo positivo del freno de maniobra y conectarlo al cuadro de control VF (borne F+E). A continuación conectar el hilo de positivo del freno de l motor al cuadro de control VF (borne F+S). De este modo pasamos el control de freno por el nuevo cuadro. 1.2.- Desconectar los cables de potencia del motor, tanto del cuadro de maniob
high	11	Sem_Marca	Ha470595.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Ha470595.pdf	\bWIRING DIAGRAM\b,\bCONTACTOR(?:ES)?\b		 $UPDWXUH'&&RQWDFWRU2SWLRQ Application The 590+ DRV frames 1 and 2 are equipped with an AC (line-side) contactor that isolates the three-phase supply to the drive when the drive is stopped. The Armature DC Contactor Option may be used if physical isolation is required between the drive output and the motor armature. This contactor has two normally open power poles to break the armature connections and a normally closed power pole that can be used as a dynamic braking c
high	10	Sem_Marca	2V-k2 EDICION 01 modificado 01.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/2V-k2 EDICION 01 modificado 01.pdf	\bCONTACTOR(?:ES)?\b,\bK[0-9]{1,2}\b.{0,60}\bCONTACT	\binstrucciones?\b	INSTRUCCIONES GENERALES DE INSTALACION DE: PUBLICACIÓN K220-001 Edición 01/2005 CUADROS DE MANIOBRA ELECTRONICOS-K2 Simplex/duplex/triplex/quadruplex para ascensores 32 NIVELES. Ref. EDEL-K2-1/25 1 velocidad 10cv, contactores 25 A. Ref. EDEL-K2-1/38 1 velocidad 20cv, con
high	10	Sem_Marca	auto-tuning.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/auto-tuning.pdf	\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b,\bX[0-9]{1,2}\b.{0,80}\bX[0-9]{1,2}\b		FUNCIONAMIENTO CONTROL VECTORIAL AUTO-TUNING PRG Para pasar de la pantalla actual a los menús FUNC/DATA Utilizada como tecla de ENTER Para cambiar los valores de los parámetros SHIFT Para desplazamientos de izquierda a derecha 
high	10	Sem_Marca	Eléctrico k2 64200-001 06-2006.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/Eléctrico k2 64200-001 06-2006.pdf	\bCONTACTOR(?:ES)?\b,\bK[0-9]{1,2}\b.{0,60}\bCONTACT	\binstrucciones?\b	 INSTRUCCIONES GENERALES DE INSTALACION DE: PUBLICACIÓN K2 64200-001 CUADROS DE MANIOBRA ELECTRÓNICOS K2 Edición 06/2006 
high	10	Sem_Marca	JSA07702E-AA_PCS-200B Control System instruction_VVVF_.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/JSA07702E-AA_PCS-200B Control System instruction_VVVF_.pdf	\bSAFETY CIRCUIT\b,\bCONTROL SYSTEM\b	\bcommissioning\b,\bcatalog(?:ue)?\b	JSA07702E-AA PCS-200B Instruction of 1/ 18 Control System（Start:VVVF） Escalator and Passenger Conveyor Instruction of PCS-200B Control System (Start: VVVF) JSA07702E-AA PCS-200B Instruction of 2/ 18 Control System（Start:VVVF） Catalog 1．Scope of PCS-200B System.............................
high	9	Kone	450_10_80_40e.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/450_10_80_40e.pdf	\bSAFETY CIRCUIT\b,\bCONTROL SYSTEM\b	\binstallation\b,\bcatalog(?:ue)?\b	Modernisation Kit: All types of mechanical controlled valves 2.5.1E to electronically controlled Beringer-Ventil LRV-1 S 1/12 General description • The conversion kit enables these lift valves to be converted from mechanical to electronic controlled valve • No modification of the existing lift control system is required • Inter
high	9	Sem_Marca	2V-1 EDICION 02.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/2V-1 EDICION 02.pdf	\bCONTACTOR(?:ES)?\b,\bREL[EÉ]\b		HOJA TÉCNICA DE LOS PRODUCTOS: Cuadros de maniobra electrónicos PUBLICACIÓN 5420-001 simplex/duplex para ascensores Edición 2 Ref. EDEL-5421B 1 velocidad 10cv, contactor principal 25A. Ref. EDEL-54214A 1 velocidad 20
high	9	Sem_Marca	COMPACT DIAGRAM 2.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/COMPACT DIAGRAM 2.pdf	\bX[0-9]{1,2}\b.{0,80}\bX[0-9]{1,2}\b		 DIBUJADO M.A. Calvo 16-09-03 L
high	8	Bucher	L_BE1-6_300-P-9010048-E-00.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/L_BE1-6_300-P-9010048-E-00.pdf	\bSAFETY CIRCUIT\b,\bCONTROL SYSTEM\b,\bCONTACTOR(?:ES)?\b,\bK[0-9]{1,2}\b.{0,60}\bCONTACT	\binstallation\b,\bservice\b,\bcommissioning\b	Electronic Softstarter BE1 / BE3 / BE4 / BE5 / BE6 1. Technical Data 1.1 General description S The starting current of oil−submer− sed motors with direct switching is approx. 3.5 x nominal current S The permissible starting current is based on the short−cir cuit resi− stance of the network and the start− up frequency of the motor S High start−up currents cause a lowe− ring of the voltage at the switching point S As a result, electrical connections with a larger cross−sect
high	8	Schindler	DO_DSF_9_Flyer_Rev_5_E.pdf	/Users/edmundofrazao/Codex/autonomous_file_intelligence/runtime/organized_v7/01. Documentacao Tecnica/Sem_Marca/DO_DSF_9_Flyer_Rev_5_E.pdf	\bDOOR DRIVE\b,\bCONTROL SYSTEM\b		Car Entrance DO DSF 9. The top quality car entrance for high performance modernisation requirements. When a speedy and smooth operation combined with high reliability is required the DO DSF 9 is exactly the right car entrance. The modernization door drive DO DSF 9 is available as either a complete car entrance or as modernization set. General Characteristics: Performance: – Short door opening/closing time. – Low-noise operation. – Braking stopping distance <25 mm. Features: 
